market,event_phase,inclusion,window,window_slug,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value
CN,announce,0,"[-5,+5]",m5_p5,137,-0.0211333357664232,0.0677890867290812,0.0057916125356616,-0.03248489633632,-0.0097817751965265,-3.648955387864023,0.0003742659299169
CN,announce,0,"[-3,+3]",m3_p3,137,-0.017624416058394,0.0419498007566681,0.0035840133516151,-0.0246490822275598,-0.0105997498892283,-4.917508482620868,2.4869520358748074e-06
CN,announce,0,"[-1,+1]",m1_p1,137,-0.0109112335766422,0.0284411569333904,0.0024298920220366,-0.015673821939834,-0.0061486452134504,-4.490419112326217,1.5028435857434286e-05
CN,announce,1,"[-5,+5]",m5_p5,137,0.0333668102189781,0.0710593541691331,0.0060710103386806,0.021467629955164,0.0452659904827921,5.496088518641768,1.853355190383409e-07
CN,announce,1,"[-3,+3]",m3_p3,137,0.0153267153284671,0.0578542200198238,0.0049428195905166,0.0056387889310544,0.0250146417258798,3.100804115503849,0.0023467115292975
CN,announce,1,"[-1,+1]",m1_p1,137,0.0206979635036496,0.0373863349611798,0.0031941301568047,0.0144374683963122,0.026958458610987,6.480000027411103,1.5560078403999203e-09
CN,effective,0,"[-5,+5]",m5_p5,137,6.197080292044465e-06,0.0776961961067175,0.0066380340119237,-0.0130043495830784,0.0130167437436625,0.0009335716389691,0.9992564857107084
CN,effective,0,"[-3,+3]",m3_p3,137,0.0031417737226277,0.0632207211015726,0.0054013107199504,-0.007444795288475,0.0137283427337306,0.5816687625511433,0.5617527047163029
CN,effective,0,"[-1,+1]",m1_p1,137,-0.0015240875912408,0.0421230464004099,0.0035988147258548,-0.0085777644539164,0.0055295892714346,-0.423497097611446,0.6726016100101043
CN,effective,1,"[-5,+5]",m5_p5,137,0.0074122408759124,0.076878686091209,0.0065681894177227,-0.0054614103828241,0.020285892134649,1.1285059556766497,0.2610930878489407
CN,effective,1,"[-3,+3]",m3_p3,137,-0.007361109489051,0.0618497448402505,0.0052841803132095,-0.0177181029029418,0.0029958839248397,-1.3930466132371533,0.165878541566668
CN,effective,1,"[-1,+1]",m1_p1,137,0.0049474452554744,0.0461470981712953,0.0039426126704053,-0.00278007557852,0.0126749660894688,1.2548646466369249,0.2116800295470849
US,announce,0,"[-5,+5]",m5_p5,116,-0.0073392389965214,0.101735468837364,0.0094459011451776,-0.0258532052410695,0.0111747272480266,-0.7769760538165604,0.4387681942448673
US,announce,0,"[-3,+3]",m3_p3,116,-0.0064320579801528,0.0947015511990492,0.0087928182878994,-0.0236659818244357,0.0108018658641299,-0.7315126697209927,0.4659540661748936
US,announce,0,"[-1,+1]",m1_p1,116,0.0008657724461231,0.0869674529455335,0.0080747252925588,-0.0149606891272921,0.0166922340195385,0.1072200495688682,0.9148012391632624
US,announce,1,"[-5,+5]",m5_p5,257,0.0137370360082504,0.0858686636465263,0.0053563400727059,0.0032386094657467,0.0242354625507541,2.5646310394385936,0.0108996045986558
US,announce,1,"[-3,+3]",m3_p3,256,0.0146520943120825,0.0741248868150784,0.0046328054259424,0.0055717956772354,0.0237323929469296,3.162682859512061,0.0017525267486111
US,announce,1,"[-1,+1]",m1_p1,255,0.018730520622938,0.0560581116061223,0.0035104951200116,0.0118499501877152,0.0256110910581607,5.335578026063757,2.1091143068477677e-07
US,effective,0,"[-5,+5]",m5_p5,116,-0.0058584902689349,0.0915684789945073,0.0085019198366216,-0.0225222531487133,0.0108052726108435,-0.6890785118556055,0.4921618104953854
US,effective,0,"[-3,+3]",m3_p3,116,0.0076894940404664,0.099557832324354,0.0092437126708225,-0.0104281827943458,0.0258071708752786,0.8318620790473116,0.4072108274993241
US,effective,0,"[-1,+1]",m1_p1,113,-0.0061231136400023,0.0671276623774738,0.0063148392844298,-0.0185001986374847,0.0062539713574801,-0.9696388719028506,0.334315850622254
US,effective,1,"[-5,+5]",m5_p5,259,0.0002078308296775,0.0815432339232765,0.0050668500181887,-0.0097231952059724,0.0101388568653274,0.0410177583570615,0.9673134624604915
US,effective,1,"[-3,+3]",m3_p3,259,-0.0007914978454326,0.0653535615112874,0.0040608727223613,-0.0087508083812609,0.0071678126903955,-0.1949083114755783,0.8456181244321954
US,effective,1,"[-1,+1]",m1_p1,258,-0.0015137585085601,0.0448102947515391,0.0027897670957494,-0.006981702016229,0.0039541849991088,-0.5426110698869793,0.5878678409957296
